question_id,question,answer,accuracy,relevance,conciseness,helpfulness,overall,rubric,judge_mode
19,"Khi có tranh chấp, ai phải chứng minh sự đồng ý của chủ thể dữ liệu?","Bên Kiểm soát dữ liệu cá nhân, Bên Kiểm soát và xử lý dữ liệu cá nhân phải chứng minh sự đồng ý của chủ thể dữ liệu trong trường hợp có tranh chấp.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
20,Rút lại sự đồng ý có làm mất tính hợp pháp của xử lý trước đó không?,Rút lại sự đồng ý không ảnh hưởng đến tính hợp pháp của việc xử lý dữ liệu đã được đồng ý trước đó.,5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
21,Thông báo xử lý dữ liệu cá nhân được thực hiện khi nào?,Việc thông báo xử lý dữ liệu cá nhân được thực hiện một lần trước khi tiến hành đối với hoạt động.,4,4,4,4,4.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
22,Nêu một nội dung bắt buộc trong thông báo xử lý dữ liệu cá nhân.,Một nội dung bắt buộc trong thông báo xử lý dữ liệu cá nhân là mục đích xử lý.,5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
23,Việc cung cấp dữ liệu cá nhân cho chủ thể dữ liệu phải thực hiện trong bao lâu?,Không tìm thấy thông tin trong tài liệu.,1,1,5,1,1.5,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
24,Một trường hợp không cung cấp dữ liệu cá nhân là gì?,"Một trường hợp không cung cấp dữ liệu cá nhân là khi việc cung cấp dữ liệu cá nhân gây tổn hại tới quốc phòng, an ninh quốc gia, trật tự an toàn xã hội.",4,4,4,4,4.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
25,Nếu không thể chỉnh sửa dữ liệu cá nhân thì phải thông báo sau bao lâu?,Thời gian thông báo cho chủ thể dữ liệu là 72 giờ kể từ khi nhận được yêu cầu chỉnh sửa dữ liệu cá nhân.,5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
26,Vì sao một RAG về Nghị định 13 cần vừa đo context precision vừa đo context recall?,"Context precision giúp phát hiện chunk nhiễu, còn context recall giúp phát hiện thiếu chunk liên quan; cả hai cùng chỉ ra retriever đang lấy đúng và đủ hay không.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
27,"Nếu hệ thống trả lời đúng nhưng dẫn nhiều context không liên quan, metric nào nên được ưu tiên điều tra?","Nên điều tra context precision vì câu trả lời có thể đúng nhưng retriever vẫn trả về nhiều chunk nhiễu, làm tăng rủi ro hallucination về sau.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
28,"Khi Cohen's kappa thấp hơn 0.6, nhóm nên làm gì trước khi tin LLM judge?","Nhóm cần kiểm tra lại prompt judge, chuẩn hóa label A/B/tie, xem lại human labels và phân tích các bias như position bias hoặc length bias.",5,5,4,5,4.75,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
29,Tại sao PII redaction nên chạy trước topic validator trong guardrail stack?,"PII redaction nên chạy trước để giảm nguy cơ lộ dữ liệu cá nhân trong các bước kiểm tra tiếp theo, kể cả khi câu hỏi bị từ chối vì off-topic.",5,5,5,5,5.0,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
30,"Nếu adversarial detector có false positive cao trên câu hỏi hợp lệ, tác động production là gì?","False positive cao làm người dùng hợp lệ bị chặn, giảm trải nghiệm và có thể khiến hệ thống không đạt SLO về availability hoặc refuse rate.",5,5,4,5,4.75,1-5 scale; overall is average of 4 dimensions,openai_absolute_rubric
